OA21CD,Pop_count
E00000579,11065.2
E00000580,6142.1
E00000581,6953.1
E00000583,9544.5
E00000584,7278.6
E00000585,7250.0
E00000586,4831.0
E00000587,6030.7
E00000588,4721.2
E00000589,4740.6
E00000590,3993.1
E00000591,4351.6
E00000592,4131.9
E00000593,7074.6
E00000594,5699.8
E00000595,2022.5
E00000596,6126.1
E00000597,6165.1
E00000598,8230.8
E00000599,13183.5
E00000600,1692.6
E00000601,4901.7
E00000602,2154.7
E00000603,6462.5
E00000604,6119.4
E00000605,6212.1
E00000606,7450.1
E00000607,8720.0
E00000608,14160.0
E00000609,4333.6
E00000610,4619.6
E00000611,6100.2
E00000612,8391.6
E00000613,4077.7
E00000614,6459.5
E00000615,3513.8
E00000616,8943.8
E00000617,8264.5
E00000618,5606.1
E00000619,6998.1
E00000620,8888.9
E00000622,11012.7
E00000624,16951.9
E00000625,10649.7
E00000626,10974.0
E00000627,17192.1
E00000628,4988.4
E00000629,8103.1
E00000630,3591.2
E00000631,11049.4
E00000632,11180.8
E00000633,7431.0
E00000634,12175.1
E00000635,9359.8
E00000636,13840.8
E00000637,14332.1
E00000638,13665.5
E00000640,10838.2
E00000641,9410.0
E00000642,4310.8
E00000643,9067.8
E00000644,7367.3
E00000645,12500.0
E00000646,11873.0
E00000647,13140.2
E00000648,7593.4
E00000649,19824.6
E00000650,7427.5
E00000651,16385.5
E00000652,15359.5
E00000653,11173.3
E00000654,7716.9
E00000655,17425.7
E00000656,13139.5
E00000657,12098.1
E00000658,11414.7
E00000659,9012.0
E00000660,16627.9
E00000661,9168.5
E00000662,8186.3
E00000663,8135.0
E00000664,16400.0
E00000666,6279.1
E00000667,9043.7
E00000668,1231.7
E00000669,6408.9
E00000670,6637.8
E00000671,13502.1
E00000672,6635.5
E00000674,1817.3
E00000675,11866.7
E00000676,12013.4
E00000677,13241.8
E00000678,11273.4
E00000679,14448.4
E00000681,13194.4
E00000682,5007.5
E00000683,8733.2
E00000684,9113.1
E00000685,8383.8
E00000686,14404.1
E00000687,9387.1
E00000688,8239.4
E00000689,13322.6
E00000690,7401.4
E00000691,9093.6
E00000692,7915.0
E00000693,6609.8
E00000694,9147.5
E00000695,5613.5
E00000697,4526.1
E00000698,5412.4
